Timestamp,Latitude,Longitude,Temperature,Humidity,Altitude,MQ2,MQ9,MQ135,PM2.5,PM10
2026-06-01 00:00:00,28.7532774,77.4976016,22.2,46.5,38.7,50,77,177,139.5,292.7
2026-06-01 00:01:00,28.7526249,77.4975282,26.9,66.9,48.1,68,50,108,8.8,21.5
2026-06-01 00:02:00,28.7528842,77.4971826,21.7,79.5,24.7,206,191,503,192.6,289
2026-06-01 00:03:00,28.7528293,77.4972916,29.3,51,57.9,40,26,119,14.7,38.3
2026-06-01 00:04:00,28.7533754,77.4960288,32.9,79.6,53.2,167,298,237,176.6,209.2
2026-06-01 00:05:00,28.7533165,77.4976662,28.1,34.5,51.1,106,250,259,143.9,205.9
2026-06-01 00:06:00,28.7535387,77.497614,29.3,71.2,45,103,309,347,101.5,159.4
2026-06-01 00:07:00,28.7526881,77.4970021,29.4,90.6,41.4,138,232,198,110.6,138.9
2026-06-01 00:08:00,28.7530484,77.4970263,27.6,42.7,43.9,158,203,339,143.1,210
2026-06-01 00:09:00,28.7526283,77.4961138,25,38.3,31.4,106,48,265,165.8,381
2026-06-01 00:10:00,28.752833,77.4969189,42.2,60.8,37.6,98,174,225,168.3,231.2
2026-06-01 00:11:00,28.7531377,77.4976111,23.3,44.3,28.2,591,180,633,433,469.6
2026-06-01 00:12:00,28.7526318,77.4964292,32.5,47.1,57.9,55,52,255,94.5,238.9
2026-06-01 00:13:00,28.7528032,77.4960439,36.1,86.9,45.3,103,85,169,162.1,359.5
2026-06-01 00:14:00,28.7532862,77.4960234,34.4,40.5,49.9,106,81,146,138.8,366.9
2026-06-01 00:15:00,28.753179,77.4968505,29.3,87.9,26,38,22,98,24.1,45.9
2026-06-01 00:16:00,28.7528233,77.4970991,31.7,33.3,51.7,63,28,79,21.9,42.2
2026-06-01 00:17:00,28.7532179,77.4967209,32.2,66.3,5.3,219,203,256,130,187
2026-06-01 00:18:00,28.7534539,77.4964857,39.9,56.6,46.9,96,231,183,161.8,197.4
2026-06-01 00:19:00,28.7526099,77.4974405,23.5,69.2,48.4,89,239,190,149,191.9
2026-06-01 00:20:00,28.7534418,77.4976541,33,33.9,50,615,240,479,414.3,518.7
2026-06-01 00:21:00,28.753333,77.4960127,30.5,54.5,56.8,66,22,78,4.7,23
2026-06-01 00:22:00,28.7529524,77.4960569,24.2,41.6,31.4,152,226,505,203.4,263
2026-06-01 00:23:00,28.7527667,77.497309,31,81.4,47.4,156,238,461,139.2,229.1
2026-06-01 00:24:00,28.7536034,77.4973756,26.9,53.5,35.7,96,85,166,95.3,244.4
2026-06-01 00:25:00,28.7529512,77.4968857,40.2,77.9,40.2,198,189,225,121.1,185.5
2026-06-01 00:26:00,28.7527018,77.4974509,32.7,31.4,45.2,617,238,599,458.6,544.5
2026-06-01 00:27:00,28.7526926,77.49714,39.2,33.8,47.6,435,219,414,463.5,549.4
2026-06-01 00:28:00,28.7534896,77.4972462,23.7,70,51.9,43,38,91,22.4,34.6
2026-06-01 00:29:00,28.7532408,77.4969218,24.7,69.8,33.5,97,147,302,166.4,214.6
2026-06-01 00:30:00,28.7534552,77.4960546,32.7,61.1,58,42,24,83,13.6,22
2026-06-01 00:31:00,28.7533688,77.4972864,36.1,67.4,12.6,251,125,764,282.1,347.3
2026-06-01 00:32:00,28.7531614,77.497169,40.6,37.9,5.4,59,78,188,108.2,356.2
2026-06-01 00:33:00,28.7536245,77.4967174,25.7,68.8,41.7,108,43,162,86.1,306.8
2026-06-01 00:34:00,28.7530035,77.4967077,22.1,75.6,52.9,143,194,286,154.8,203.9
2026-06-01 00:35:00,28.7531835,77.4962031,23.5,82.3,32.5,58,17,106,17.8,31.2
2026-06-01 00:36:00,28.7534785,77.4967238,28.3,85,47.5,21,40,86,19.4,33.4
2026-06-01 00:37:00,28.7532492,77.4975246,33.1,82.9,42.9,122,209,219,208.2,269.7
2026-06-01 00:38:00,28.7535134,77.4976682,22.5,72.7,49.3,388,200,452,242.5,395.4
2026-06-01 00:39:00,28.7532141,77.4965962,25.4,71,43.6,86,274,237,107,176.1
2026-06-01 00:40:00,28.7533427,77.4962972,38.3,83.7,37.3,131,248,258,116.4,149.8
2026-06-01 00:41:00,28.752648,77.496718,29,60,42.8,255,203,435,173.9,293.4
2026-06-01 00:42:00,28.7528392,77.4960675,41.1,46.6,40.2,191,238,257,141.7,205.9
2026-06-01 00:43:00,28.7528963,77.4963718,39.9,40.3,44.1,52,25,118,28,37.2
2026-06-01 00:44:00,28.7526773,77.4969798,36.6,70.3,47.5,47,92,229,142.6,402.2
2026-06-01 00:45:00,28.7528403,77.4963672,39.9,60.8,45.6,35,48,105,16.1,26.4
2026-06-01 00:46:00,28.7526967,77.4972686,29.9,76.2,43.6,118,51,254,132.8,284.6
2026-06-01 00:47:00,28.7528875,77.4975112,30.3,64.6,57.2,203,265,297,170,217.9
2026-06-01 00:48:00,28.7532718,77.4973377,41.2,75.3,49,198,255,763,254.4,320.7
2026-06-01 00:49:00,28.7529793,77.4969445,37.1,71.1,52.5,168,159,432,164.4,285.1
2026-06-01 00:50:00,28.7529816,77.497679,37.2,58.7,40.9,114,47,252,125.3,312.2
2026-06-01 00:51:00,28.7528224,77.4959933,22,74.8,34.9,57,84,266,97.9,377.8
2026-06-01 00:52:00,28.7528709,77.4972141,31.2,64.7,56.3,53,56,186,155.8,412.1
2026-06-01 00:53:00,28.7535849,77.497366,34.2,87.9,28.6,312,227,354,265.9,399.5
2026-06-01 00:54:00,28.7532809,77.4961022,36.8,59.3,48.1,212,166,444,262.4,385.7
2026-06-01 00:55:00,28.7532391,77.4961886,30.5,72.3,19.3,161,230,312,90.9,128.1
2026-06-01 00:56:00,28.7527739,77.4962788,25.2,43,45.9,160,291,307,138.8,178
2026-06-01 00:57:00,28.7533639,77.496045,40.4,45.6,43.7,612,219,596,228,289.2
2026-06-01 00:58:00,28.7527656,77.4965768,41.1,53.7,32.9,256,176,669,190.5,265.4
2026-06-01 00:59:00,28.7530032,77.497105,28.5,70.9,42.9,34,54,84,28.1,43.5
2026-06-01 01:00:00,28.7536411,77.4963906,33.6,69.7,44.6,258,136,473,214.1,297
2026-06-01 01:01:00,28.7532763,77.496481,25.9,49.8,41.7,179,224,291,113.2,148.4
