timestamp,lat,lng,mq135,mq9,mq2,satellites,temperature,humidity
1780252200000,28.7532774,77.4976016,177,77,50,12,22.2,46.5
1780252260000,28.7526249,77.4975282,108,50,68,12,26.9,66.9
1780252320000,28.7528842,77.4971826,503,191,206,12,21.7,79.5
1780252380000,28.7528293,77.4972916,119,26,40,12,29.3,51
1780252440000,28.7533754,77.4960288,237,298,167,12,32.9,79.6
1780252500000,28.7533165,77.4976662,259,250,106,12,28.1,34.5
1780252560000,28.7535387,77.497614,347,309,103,12,29.3,71.2
1780252620000,28.7526881,77.4970021,198,232,138,12,29.4,90.6
1780252680000,28.7530484,77.4970263,339,203,158,12,27.6,42.7
1780252740000,28.7526283,77.4961138,265,48,106,12,25,38.3
1780252800000,28.752833,77.4969189,225,174,98,12,42.2,60.8
1780252860000,28.7531377,77.4976111,633,180,591,12,23.3,44.3
1780252920000,28.7526318,77.4964292,255,52,55,12,32.5,47.1
1780252980000,28.7528032,77.4960439,169,85,103,12,36.1,86.9
1780253040000,28.7532862,77.4960234,146,81,106,12,34.4,40.5
1780253100000,28.753179,77.4968505,98,22,38,12,29.3,87.9
1780253160000,28.7528233,77.4970991,79,28,63,12,31.7,33.3
1780253220000,28.7532179,77.4967209,256,203,219,12,32.2,66.3
1780253280000,28.7534539,77.4964857,183,231,96,12,39.9,56.6
1780253340000,28.7526099,77.4974405,190,239,89,12,23.5,69.2
1780253400000,28.7534418,77.4976541,479,240,615,12,33,33.9
1780253460000,28.753333,77.4960127,78,22,66,12,30.5,54.5
1780253520000,28.7529524,77.4960569,505,226,152,12,24.2,41.6
1780253580000,28.7527667,77.497309,461,238,156,12,31,81.4
1780253640000,28.7536034,77.4973756,166,85,96,12,26.9,53.5
1780253700000,28.7529512,77.4968857,225,189,198,12,40.2,77.9
1780253760000,28.7527018,77.4974509,599,238,617,12,32.7,31.4
1780253820000,28.7526926,77.49714,414,219,435,12,39.2,33.8
1780253880000,28.7534896,77.4972462,91,38,43,12,23.7,70
1780253940000,28.7532408,77.4969218,302,147,97,12,24.7,69.8
1780254000000,28.7534552,77.4960546,83,24,42,12,32.7,61.1
1780254060000,28.7533688,77.4972864,764,125,251,12,36.1,67.4
1780254120000,28.7531614,77.497169,188,78,59,12,40.6,37.9
1780254180000,28.7536245,77.4967174,162,43,108,12,25.7,68.8
1780254240000,28.7530035,77.4967077,286,194,143,12,22.1,75.6
1780254300000,28.7531835,77.4962031,106,17,58,12,23.5,82.3
1780254360000,28.7534785,77.4967238,86,40,21,12,28.3,85
1780254420000,28.7532492,77.4975246,219,209,122,12,33.1,82.9
1780254480000,28.7535134,77.4976682,452,200,388,12,22.5,72.7
1780254540000,28.7532141,77.4965962,237,274,86,12,25.4,71
1780254600000,28.7533427,77.4962972,258,248,131,12,38.3,83.7
1780254660000,28.752648,77.496718,435,203,255,12,29,60
1780254720000,28.7528392,77.4960675,257,238,191,12,41.1,46.6
1780254780000,28.7528963,77.4963718,118,25,52,12,39.9,40.3
1780254840000,28.7526773,77.4969798,229,92,47,12,36.6,70.3
1780254900000,28.7528403,77.4963672,105,48,35,12,39.9,60.8
1780254960000,28.7526967,77.4972686,254,51,118,12,29.9,76.2
1780255020000,28.7528875,77.4975112,297,265,203,12,30.3,64.6
1780255080000,28.7532718,77.4973377,763,255,198,12,41.2,75.3
1780255140000,28.7529793,77.4969445,432,159,168,12,37.1,71.1
1780255200000,28.7529816,77.497679,252,47,114,12,37.2,58.7
1780255260000,28.7528224,77.4959933,266,84,57,12,22,74.8
1780255320000,28.7528709,77.4972141,186,56,53,12,31.2,64.7
1780255380000,28.7535849,77.497366,354,227,312,12,34.2,87.9
1780255440000,28.7532809,77.4961022,444,166,212,12,36.8,59.3
1780255500000,28.7532391,77.4961886,312,230,161,12,30.5,72.3
1780255560000,28.7527739,77.4962788,307,291,160,12,25.2,43
1780255620000,28.7533639,77.496045,596,219,612,12,40.4,45.6
1780255680000,28.7527656,77.4965768,669,176,256,12,41.1,53.7
1780255740000,28.7530032,77.497105,84,54,34,12,28.5,70.9
1780255800000,28.7536411,77.4963906,473,136,258,12,33.6,69.7
1780255860000,28.7532763,77.496481,291,224,179,12,25.9,49.8
1780255920000,28.7531835,77.4970221,63,27,57,12,33.2,88.6
1780255980000,28.7533247,77.4967931,233,295,113,12,22.7,39.1
1780256040000,28.7534913,77.4961819,200,234,115,12,34.5,88.5
1780256100000,28.7534188,77.4960945,646,136,417,12,40.5,30.9
1780256160000,28.752846,77.4963973,686,208,132,12,38.9,66.4
1780256220000,28.7526236,77.4969004,535,230,369,12,28.5,43.6
1780256280000,28.7529325,77.4968192,587,241,591,12,36.7,36.5
1780256340000,28.752883,77.4972392,712,236,181,12,38.5,35.3
1780256400000,28.7528261,77.4965891,98,37,31,12,39.4,41.2
1780256460000,28.7535868,77.4975583,318,270,184,12,21.9,85.9
1780256520000,28.7535138,77.4963491,219,55,66,12,32,77
1780256580000,28.7529271,77.4972037,584,215,483,12,32.3,31.6
1780256640000,28.7532932,77.4976017,236,198,122,12,24.1,62.1
1780256700000,28.7530127,77.49732,215,50,67,12,36.9,67.1
1780256760000,28.7535566,77.4964799,176,69,71,12,24.4,31.3
1780256820000,28.7530756,77.497106,72,31,38,12,22.4,48.2
1780256880000,28.7528763,77.4968808,74,21,64,12,23.3,60.5
1780256940000,28.7528555,77.496423,278,280,138,12,41.9,35.6
1780257000000,28.7531817,77.4971766,748,170,147,12,41.6,48.1
1780257060000,28.7528728,77.4968326,124,59,43,12,25.3,33.2
1780257120000,28.7532101,77.496059,193,77,71,12,35.7,58
1780257180000,28.753545,77.4975183,236,82,66,12,40.4,79.8
1780257240000,28.7530208,77.4971881,375,165,251,12,31.1,59.2
1780257300000,28.7528353,77.4970368,205,38,48,12,39.4,74.5
1780257360000,28.753647,77.4964523,438,126,458,12,41,48.3
1780257420000,28.7531293,77.4963144,271,273,100,12,33.7,67.9
1780257480000,28.7526862,77.4962089,129,48,65,12,25.3,54.6
1780257540000,28.7526467,77.4976502,312,319,74,12,24.5,77
1780257600000,28.7527105,77.4963704,486,167,349,12,34.4,39
1780257660000,28.7532619,77.4972525,182,78,68,12,24.2,87.8
1780257720000,28.7534286,77.4963318,613,163,376,12,26.7,44.7
1780257780000,28.7530368,77.496619,448,220,388,12,31.3,46.1
1780257840000,28.7526597,77.4973775,425,184,255,12,27.6,77.2
1780257900000,28.7529988,77.4962152,240,59,109,12,42,60.7
1780257960000,28.7536446,77.4976675,280,294,141,12,40.7,81.3
1780258020000,28.7531536,77.4971779,127,32,42,12,36.8,72.6
1780258080000,28.7536141,77.4970941,480,233,172,12,28.9,35.2
1780258140000,28.753508,77.4967546,677,201,460,12,34.8,40.8
1780258200000,28.7526098,77.4961706,446,257,246,12,39.1,54.3
1780258260000,28.7533578,77.4968291,179,76,51,12,27.9,43.7
1780258320000,28.753316,77.4960243,295,211,241,12,23.2,76.6
1780258380000,28.7531576,77.4964502,206,72,92,12,25.3,39.3
1780258440000,28.7528761,77.4966268,314,224,203,12,35.1,56.4
1780258500000,28.7532708,77.4973939,256,266,139,12,33.6,69.2
1780258560000,28.7527195,77.4961126,353,191,674,12,27,34.3
